Date,Open,High,Low,Close,Adj Close,Volume
2020-06-03,28.360001,29.850000,28.360001,29.780001,29.421150,575900
2020-06-04,29.600000,30.719999,29.230000,30.680000,30.310305,575200
2020-06-05,32.369999,33.189999,31.590000,32.770000,32.375122,1068200
2020-06-08,33.540001,33.770000,32.290001,33.740002,33.333435,628700
2020-06-09,32.740002,32.740002,31.500000,31.580000,31.199459,897500
2020-06-10,31.350000,31.490000,29.490000,29.620001,29.263079,847700
2020-06-11,28.000000,28.180000,26.910000,27.160000,26.832722,612100
2020-06-12,28.320000,29.040001,27.770000,28.410000,28.067657,467700
2020-06-15,27.170000,29.400000,27.000000,29.030001,28.680189,351100
2020-06-16,29.280001,30.129999,27.370001,27.469999,27.138985,920400
2020-06-17,27.530001,27.840000,27.110001,27.660000,27.326696,498600
2020-06-18,27.250000,27.850000,27.250000,27.360001,27.030312,298500
2020-06-19,27.930000,28.270000,27.400000,27.400000,27.069828,999400
2020-06-22,27.209999,27.370001,25.570000,26.080000,25.765736,658900
2020-06-23,26.549999,27.200001,26.049999,26.700001,26.378265,768700
2020-06-24,26.320000,26.580000,26.080000,26.360001,26.042362,576700
2020-06-25,26.100000,26.840000,26.010000,26.580000,26.259710,581000
2020-06-26,26.150000,26.790001,25.889999,26.389999,26.071999,507300
2020-06-29,26.209999,26.559999,25.850000,26.230000,26.230000,213700
2020-06-30,25.959999,26.510000,25.730000,26.309999,26.309999,397400
2020-07-01,26.510000,27.260000,26.219999,26.690001,26.690001,598400
2020-07-02,27.540001,27.760000,26.990000,27.309999,27.309999,351200
