"0","#C?LCULO INDIVIDUAL DE EFECTOS, SUS TESTES T Y I.C DEL 95%:"
"0","efect.0=fit.contrast(modelo2,""nitrato"","
"0","rbind("":efecto 0""=c(4/5,-1/5,-1/5,-1/5,-1/5)),conf=0.95)"
"0","efect.50=fit.contrast(modelo2,""nitrato"","
"0","rbind("":efecto 50""=c(-1/5,4/5,-1/5,-1/5,-1/5)),conf=0.95)"
"0","efect.100=fit.contrast(modelo2,""nitrato"","
"0","rbind("":efecto 100""=c(-1/5,-1/5,4/5,-1/5,-1/5)),conf=0.95)"
"0","efect.150=fit.contrast(modelo2,""nitrato"","
"0","rbind("":efecto 150""=c(-1/5,-1/5,-1/5,4/5,-1/5)),conf=0.95)"
"0","efect.200=fit.contrast(modelo2,""nitrato"","
"0","rbind("":efecto 200""=c(-1/5,-1/5,-1/5,-1/5,4/5)),conf=0.95)"
