"X1" "X2" "X3" "X4" "grupos"
1.3444 4.4531 5.4294 -1.0064 1
1.2191 0.0863 2.0986 1.8693 2
0.1258 4.0835 1.2258 -3.1224 2
7.5934 -1.422 4.1555 -1.3862 1
3.6409 -1.2075 7.8306 5.1312 1
1.0801 1.7771 2.2727 -0.5834 1
2.1283 -0.8208 3.6411 -1.3537 1
3.8946 1.3922 2.9597 1.0173 2
-1.519 -1.0501 13.2759 -0.3992 2
5.4683 -2.2747 9.3913 2.274 1
2.563 4.9399 4.0414 -2.479 2
0.4483 3.4499 0.1497 1.4795 2
3.1702 2.5035 1.6132 3.3953 1
3.5114 1.7169 3.3255 4.5975 1
5.2685 1.0355 -0.1654 3.5785 2
4.11 0.3479 2.7451 0.4419 2
3.97 1.5842 0.9501 -4.5572 2
8.4024 4.5696 0.8471 -2.4742 1
7.1429 1.2661 -0.7743 -1.7027 1
2.9202 4.7196 3.2309 0.603 2
7.4043 -5.4822 3.3464 -0.3236 1
2.6165 6.7106 -0.456 3.5235 1
4.3417 3.6523 1.0572 -1.8165 2
2.9046 0.0469 0.2861 -2.1311 1
4.811 0.2406 1.5186 0.5444 2
1.948 7.0348 1.94 4.2173 2
4.1362 3.7341 -3.5709 0.8342 1
2.5529 3.8398 5.4912 -2.7205 1
5.4717 2.6382 -0.5404 2.2366 1
5.2678 1.2094 5.3857 3.0305 1
7.502 -2.5437 4.8916 -1.5541 2
5.5648 2.9712 -0.8556 -0.4597 1
2.9694 5.7085 0.5937 -2.1942 1
4.5677 -0.0975 3.9535 4.044 1
6.2429 -1.432 3.6456 -1.2686 1
4.3387 3.136 0.59 -1.9365 1
8.4546 -2.5347 3.4504 -2.9721 2
7.8032 -0.9802 3.014 -2.1112 1
6.5541 2.4226 -2.1595 1.0205 1
3.8999 3.5093 -1.1 3.3492 1
4.3895 -0.2999 2.3801 2.367 1
5.1385 -4.0702 4.7105 2.0896 2
5.4242 3.3276 0.6289 0.5347 2
3.2811 3.7742 -0.4609 7.0873 2
4.5419 4.987 3.3181 -0.4372 1
5.2451 -1.9081 7.4799 1.7458 2
0.8111 4.2804 3.0768 1.4276 1
1.6542 4.7213 2.364 2.4497 2
5.6955 -1.0856 3.689 1.9512 2
3.5074 1.5341 3.2775 1.1307 1
6.9639 -0.7332 3.9711 -3.8285 1
3.1257 2.3574 2.5697 -2.4612 1
6.0656 -1.2091 1.9902 3.7403 2
5.6611 0.5141 -0.5741 -0.1198 2
4.2079 5.4037 1.9471 3.6717 2
1.7669 5.723 4.8303 1.3373 1
