"X1" "X2" "X3" "X4" "grupos"
2.5809 2.1203 0.7862 2.3644 1
1.8288 4.1272 5.4696 -4.14 1
7.1429 1.2661 -0.7743 -1.7027 1
7.3496 3.8666 -2.8397 1.5335 1
3.5716 1.5286 4.8099 5.5082 2
7.5934 -1.422 4.1555 -1.3862 1
5.9528 -1.328 4.2971 2.3372 1
2.9202 4.7196 3.2309 0.603 2
6.3418 -0.2984 0.1174 0.5951 1
2.6725 1.8157 0.078 1.545 2
3.5074 1.5341 3.2775 1.1307 1
3.5347 1.0649 1.2668 2.8473 1
3.9338 1.7727 4.9842 1.481 1
1.2191 0.0863 2.0986 1.8693 2
3.1677 6.5962 2.0646 -4.5376 1
3.3867 4.1101 1.0348 1.1581 1
3.1702 2.5035 1.6132 3.3953 1
5.5768 0.9262 -0.3321 4.0118 1
5.2685 1.0355 -0.1654 3.5785 2
2.563 4.9399 4.0414 -2.479 2
1.0801 1.7771 2.2727 -0.5834 1
2.5529 3.8398 5.4912 -2.7205 1
3.3155 2.0174 7.5251 0.4614 1
2.0787 0.2189 6.7187 1.0983 2
4.7687 -0.1322 3.7575 0.9177 2
3.8946 1.3922 2.9597 1.0173 2
2.6798 5.6086 0.0254 -0.2584 1
2.6165 6.7106 -0.456 3.5235 1
6.9639 -0.7332 3.9711 -3.8285 1
4.0812 2.8476 2.561 2.6943 2
5.4242 3.3276 0.6289 0.5347 2
5.8704 -0.0124 -1.3861 4.0477 2
6.8853 0.2879 2.1749 0.8428 2
4.5677 -0.0975 3.9535 4.044 1
3.2907 4.4689 0.4306 -3.3338 2
6.6589 -2.9306 2.0722 0.1937 2
3.588 0.0659 7.3388 4.0576 1
0.4483 3.4499 0.1497 1.4795 2
3.97 1.5842 0.9501 -4.5572 2
4.2079 5.4037 1.9471 3.6717 2
5.2678 1.2094 5.3857 3.0305 1
4.4748 3.1759 5.4007 4.6005 2
7.502 -2.5437 4.8916 -1.5541 2
8.4024 4.5696 0.8471 -2.4742 1
0.9447 2.8238 3.3173 -1.2878 1
6.5284 -0.5865 -1.3828 -1.8507 1
2.2278 3.8637 2.5111 -0.7036 1
-0.3525 2.5296 4.7171 -1.9009 1
3.2143 4.5779 -2.6704 3.0727 2
5.4683 -2.2747 9.3913 2.274 1
4.2448 4.5815 2.3615 -2.1051 2
4.5013 -0.5166 3.9449 -0.0816 1
3.7963 0.836 2.8507 -1.1503 2
1.0638 4.0974 2.9004 1.8369 1
4.6962 4.8135 -0.2931 3.3861 1
1.948 7.0348 1.94 4.2173 2
6.5705 4.9737 0.1222 -1.001 1
6.8429 2.2083 -2.2246 4.057 2
5.9016 2.6594 2.0681 2.5759 2
