"X1" "X2" "X3" "X4" "grupos"
2.9429 -0.7687 3.6823 2.4713 1
4.11 0.3479 2.7451 0.4419 2
1.0801 1.7771 2.2727 -0.5834 1
3.618 4.4787 3.8151 -1.6838 2
3.0758 2.3846 2.9849 -0.1903 1
3.588 0.0659 7.3388 4.0576 1
1.7669 5.723 4.8303 1.3373 1
5.5768 0.9262 -0.3321 4.0118 1
8.2875 1.5811 -0.7817 1.9841 2
1.8287 -3.0823 6.6519 4.7427 1
7.502 -2.5437 4.8916 -1.5541 2
1.2191 0.0863 2.0986 1.8693 2
1.3681 -0.3824 4.5676 0.5743 2
2.5922 2.1211 3.4592 1.7211 1
1.8288 4.1272 5.4696 -4.14 1
2.9202 4.7196 3.2309 0.603 2
8.4024 4.5696 0.8471 -2.4742 1
2.8047 3.7705 0.182 4.9773 2
5.9121 -1.3141 3.9993 1.3148 2
3.5716 1.5286 4.8099 5.5082 2
7.1537 3.6905 -2.4029 5.0013 1
5.8704 -0.0124 -1.3861 4.0477 2
2.1896 4.6631 0.3493 3.348 1
6.3418 -0.2984 0.1174 0.5951 1
5.354 4.0239 -5.7715 1.5046 1
0.9447 2.8238 3.3173 -1.2878 1
4.3895 -0.2999 2.3801 2.367 1
1.7403 1.2405 5.2965 1.5254 2
4.7687 -0.1322 3.7575 0.9177 2
5.6955 -1.0856 3.689 1.9512 2
4.5973 2.5693 1.1124 5.2049 1
4.3387 3.136 0.59 -1.9365 1
6.9639 -0.7332 3.9711 -3.8285 1
-2.0964 6.946 3.0749 -2.2684 2
5.5078 0.6214 2.7248 1.167 1
5.8016 2.6339 3.2372 -2.5128 1
2.3423 3.1403 1.9584 -0.9273 2
3.5074 1.5341 3.2775 1.1307 1
1.5692 -0.883 3.8388 3.3674 1
4.1015 3.0376 2.7367 1.2281 2
3.7001 0.0751 3.6309 2.5388 1
3.5114 1.7169 3.3255 4.5975 1
4.3417 3.6523 1.0572 -1.8165 2
6.6589 -2.9306 2.0722 0.1937 2
7.5297 0.4132 2.6189 5.3698 2
7.5934 -1.422 4.1555 -1.3862 1
5.2678 1.2094 5.3857 3.0305 1
5.4717 2.6382 -0.5404 2.2366 1
1.6931 4.1784 -0.3947 -0.8055 1
5.8744 -0.5852 0.9259 -0.3017 2
4.777 4.7446 6.6308 3.5392 1
5.7949 -2.1526 1.9904 -0.0187 2
4.1362 3.7341 -3.5709 0.8342 1
1.513 1.712 -1.0789 1.7377 2
1.948 7.0348 1.94 4.2173 2
-1.4131 4.4661 5.2225 -1.0994 2
4.6336 4.8631 0.9134 2.1407 1
8.4546 -2.5347 3.4504 -2.9721 2
2.4645 4.3469 3.7637 2.1843 1
5.2748 6.2775 -0.7811 1.769 2
