"X1" "X2" "X3" "X4" "grupos"
5.9016 2.6594 2.0681 2.5759 2
1.513 1.712 -1.0789 1.7377 2
6.8484 0.64 3.8116 -0.7802 1
7.3496 3.8666 -2.8397 1.5335 1
3.2143 4.5779 -2.6704 3.0727 2
5.8704 -0.0124 -1.3861 4.0477 2
-1.7442 4.0647 4.5991 -0.6461 1
1.5692 -0.883 3.8388 3.3674 1
5.9528 -1.328 4.2971 2.3372 1
1.6931 4.1784 -0.3947 -0.8055 1
1.3444 4.4531 5.4294 -1.0064 1
8.8549 -2.4269 -1.5292 0.4795 2
8.841 -2.3242 0.4794 -0.3486 1
1.2191 0.0863 2.0986 1.8693 2
6.3418 -0.2984 0.1174 0.5951 1
4.6411 -1.3351 -0.6715 1.494 1
-1.519 -1.0501 13.2759 -0.3992 2
1.7403 1.2405 5.2965 1.5254 2
6.8429 2.2083 -2.2246 4.057 2
3.1257 2.3574 2.5697 -2.4612 1
1.8288 4.1272 5.4696 -4.14 1
3.523 2.5741 2.196 -2.5618 2
3.5716 1.5286 4.8099 5.5082 2
8.4024 4.5696 0.8471 -2.4742 1
2.9694 5.7085 0.5937 -2.1942 1
3.618 4.4787 3.8151 -1.6838 2
5.6611 0.5141 -0.5741 -0.1198 2
4.811 0.2406 1.5186 0.5444 2
4.0976 9.5607 0.2794 4.9315 2
3.981 2.7977 4.4716 2.4257 1
1.6542 4.7213 2.364 2.4497 2
5.5648 2.9712 -0.8556 -0.4597 1
4.6336 4.8631 0.9134 2.1407 1
6.999 2.2932 -0.2967 -0.5026 1
2.8502 5.2298 -0.4304 0.4463 1
0.0759 4.1033 5.0853 1.8182 1
5.8744 -0.5852 0.9259 -0.3017 2
3.5074 1.5341 3.2775 1.1307 1
-1.4131 4.4661 5.2225 -1.0994 2
2.4645 4.3469 3.7637 2.1843 1
6.5541 2.4226 -2.1595 1.0205 1
5.1758 3.5777 -2.9766 -0.6854 2
0.2745 -0.9104 7.3548 -3.8182 2
6.4753 3.2822 4.2987 4.145 2
2.6165 6.7106 -0.456 3.5235 1
4.6962 4.8135 -0.2931 3.3861 1
3.97 1.5842 0.9501 -4.5572 2
-1.5564 1.518 6.5195 2.4767 2
1.9904 3.6536 2.0567 3.5471 1
7.5245 5.4469 1.553 4.3176 1
2.5809 2.1203 0.7862 2.3644 1
2.563 4.9399 4.0414 -2.479 2
1.8287 -3.0823 6.6519 4.7427 1
