"X1" "X2" "X3" "X4" "grupos"
4.1015 3.0376 2.7367 1.2281 2
4.3417 3.6523 1.0572 -1.8165 2
1.8288 4.1272 5.4696 -4.14 1
5.7852 -1.6291 1.0319 -1.3478 2
5.8744 -0.5852 0.9259 -0.3017 2
6.9639 -0.7332 3.9711 -3.8285 1
4.6962 4.8135 -0.2931 3.3861 1
2.0042 4.4202 1.4157 6.4899 1
2.1283 -0.8208 3.6411 -1.3537 1
3.2811 3.7742 -0.4609 7.0873 2
6.8176 2.5339 0.0882 -1.395 2
1.3681 -0.3824 4.5676 0.5743 2
5.4717 2.6382 -0.5404 2.2366 1
6.5541 2.4226 -2.1595 1.0205 1
6.8429 2.2083 -2.2246 4.057 2
5.5768 0.9262 -0.3321 4.0118 1
0.8111 4.2804 3.0768 1.4276 1
5.1876 3.9448 -0.8332 4.8217 2
-0.3238 2.6979 2.7311 -0.6042 1
4.5065 1.2271 5.1486 1.0266 1
5.8704 -0.0124 -1.3861 4.0477 2
8.841 -2.3242 0.4794 -0.3486 1
5.1385 -4.0702 4.7105 2.0896 2
3.399 3.3158 -1.5729 3.9993 1
7.5934 -1.422 4.1555 -1.3862 1
3.5347 1.0649 1.2668 2.8473 1
6.5705 4.9737 0.1222 -1.001 1
5.5078 0.6214 2.7248 1.167 1
4.3895 -0.2999 2.3801 2.367 1
3.981 2.7977 4.4716 2.4257 1
1.7669 5.723 4.8303 1.3373 1
1.3444 4.4531 5.4294 -1.0064 1
1.5692 -0.883 3.8388 3.3674 1
-2.624 6.3909 3.0232 0.7613 1
6.5776 -2.5487 7.5232 0.9786 2
3.8999 3.5093 -1.1 3.3492 1
2.9694 5.7085 0.5937 -2.1942 1
1.0638 4.0974 2.9004 1.8369 1
7.8032 -0.9802 3.014 -2.1112 1
6.9018 -0.6093 0.7617 -2.7678 2
-0.3525 2.5296 4.7171 -1.9009 1
1.0801 1.7771 2.2727 -0.5834 1
2.6725 1.8157 0.078 1.545 2
3.2143 4.5779 -2.6704 3.0727 2
4.777 4.7446 6.6308 3.5392 1
3.7001 0.0751 3.6309 2.5388 1
4.5142 1.1249 1.0084 -0.2863 1
8.6342 4.6793 -0.7193 1.8235 2
2.3082 0.9885 4.1526 4.0847 1
1.5241 2.468 2.4146 3.0218 1
