"X1" "X2" "X3" "X4" "grupos"
4.6146 7.0953 1.9426 -1.6853 1
5.5648 2.9712 -0.8556 -0.4597 1
5.2451 -1.9081 7.4799 1.7458 2
2.5922 2.1211 3.4592 1.7211 1
1.1583 4.0016 0.2463 -1.9524 1
-1.7442 4.0647 4.5991 -0.6461 1
2.215 5.4179 1.8265 3.149 1
1.1102 3.3952 2.7081 -0.4234 1
-1.519 -1.0501 13.2759 -0.3992 2
6.5284 -0.5865 -1.3828 -1.8507 1
3.7758 -1.8933 7.1177 4.8064 1
3.2811 3.7742 -0.4609 7.0873 2
0.4483 3.4499 0.1497 1.4795 2
4.2079 5.4037 1.9471 3.6717 2
2.4645 4.3469 3.7637 2.1843 1
1.7403 1.2405 5.2965 1.5254 2
2.1283 -0.8208 3.6411 -1.3537 1
4.6336 4.8631 0.9134 2.1407 1
9.5332 2.6547 0.229 -0.846 2
-1.5564 1.518 6.5195 2.4767 2
2.5529 3.8398 5.4912 -2.7205 1
-0.1852 5.0853 -2.2794 -0.0863 1
3.1702 2.5035 1.6132 3.3953 1
1.2191 0.0863 2.0986 1.8693 2
5.354 4.0239 -5.7715 1.5046 1
5.1876 3.9448 -0.8332 4.8217 2
2.8133 2.8895 1.1027 3.3278 2
6.8484 0.64 3.8116 -0.7802 1
3.618 4.4787 3.8151 -1.6838 2
3.9338 1.7727 4.9842 1.481 1
2.3082 0.9885 4.1526 4.0847 1
6.4753 3.2822 4.2987 4.145 2
5.5768 0.9262 -0.3321 4.0118 1
-2.0964 6.946 3.0749 -2.2684 2
8.6342 4.6793 -0.7193 1.8235 2
3.1677 6.5962 2.0646 -4.5376 1
6.9807 -2.8328 2.6769 3.0859 2
6.5541 2.4226 -2.1595 1.0205 1
3.7963 0.836 2.8507 -1.1503 2
5.1322 2.9536 -0.6372 1.1853 1
6.3418 -0.2984 0.1174 0.5951 1
3.5114 1.7169 3.3255 4.5975 1
3.662 -2.0064 3.4462 2.1258 1
3.399 3.3158 -1.5729 3.9993 1
1.9904 3.6536 2.0567 3.5471 1
3.8946 1.3922 2.9597 1.0173 2
5.2678 1.2094 5.3857 3.0305 1
3.523 2.5741 2.196 -2.5618 2
2.6798 5.6086 0.0254 -0.2584 1
7.4043 -5.4822 3.3464 -0.3236 1
5.1758 3.5777 -2.9766 -0.6854 2
3.0909 4.8462 3.2541 3.0184 2
2.1004 0.1625 9.3202 5.5668 2
1.0638 4.0974 2.9004 1.8369 1
