"X1" "X2" "X3" "X4" "grupos"
8.4146 -1.8588 0.2389 3.6459 2
4.811 0.2406 1.5186 0.5444 2
3.1257 2.3574 2.5697 -2.4612 1
4.1362 3.7341 -3.5709 0.8342 1
4.5973 2.5693 1.1124 5.2049 1
6.9639 -0.7332 3.9711 -3.8285 1
-1.4131 4.4661 5.2225 -1.0994 2
5.1385 -4.0702 4.7105 2.0896 2
5.1322 2.9536 -0.6372 1.1853 1
-2.4555 6.202 1.2881 3.483 2
4.5142 1.1249 1.0084 -0.2863 1
5.1758 3.5777 -2.9766 -0.6854 2
0.4483 3.4499 0.1497 1.4795 2
5.4717 2.6382 -0.5404 2.2366 1
3.7758 -1.8933 7.1177 4.8064 1
3.8946 1.3922 2.9597 1.0173 2
4.5419 4.987 3.3181 -0.4372 1
5.6955 -1.0856 3.689 1.9512 2
-1.9244 5.721 3.4898 1.7586 2
8.963 -1.4947 4.2346 -2.8417 2
7.1429 1.2661 -0.7743 -1.7027 1
6.9018 -0.6093 0.7617 -2.7678 2
2.1896 4.6631 0.3493 3.348 1
5.7852 -1.6291 1.0319 -1.3478 2
1.1583 4.0016 0.2463 -1.9524 1
5.6934 3.3269 1.6975 0.7509 1
0.337 0.2934 5.9831 4.7933 2
0.1258 4.0835 1.2258 -3.1224 2
3.2781 1.8981 -0.093 1.902 1
3.662 -2.0064 3.4462 2.1258 1
6.9807 -2.8328 2.6769 3.0859 2
2.9321 3.4526 3.3846 1.9515 1
6.5776 -2.5487 7.5232 0.9786 2
5.9016 2.6594 2.0681 2.5759 2
4.11 0.3479 2.7451 0.4419 2
5.1876 3.9448 -0.8332 4.8217 2
1.7403 1.2405 5.2965 1.5254 2
6.8484 0.64 3.8116 -0.7802 1
8.8549 -2.4269 -1.5292 0.4795 2
3.2143 4.5779 -2.6704 3.0727 2
-1.5564 1.518 6.5195 2.4767 2
6.2429 -1.432 3.6456 -1.2686 1
5.2451 -1.9081 7.4799 1.7458 2
8.2875 1.5811 -0.7817 1.9841 2
5.2678 1.2094 5.3857 3.0305 1
2.3423 3.1403 1.9584 -0.9273 2
8.841 -2.3242 0.4794 -0.3486 1
6.5284 -0.5865 -1.3828 -1.8507 1
1.777 -0.9217 4.5942 5.7306 1
7.5934 -1.422 4.1555 -1.3862 1
6.3418 -0.2984 0.1174 0.5951 1
2.8133 2.8895 1.1027 3.3278 2
4.3417 3.6523 1.0572 -1.8165 2
4.6962 4.8135 -0.2931 3.3861 1
5.5078 0.6214 2.7248 1.167 1
7.3496 3.8666 -2.8397 1.5335 1
5.4242 3.3276 0.6289 0.5347 2
