"X1" "X2" "X3" "X4" "grupos"
4.0939 3.7453 2.1351 1.7487 1
1.5241 2.468 2.4146 3.0218 1
3.588 0.0659 7.3388 4.0576 1
2.6798 5.6086 0.0254 -0.2584 1
4.3417 3.6523 1.0572 -1.8165 2
5.5648 2.9712 -0.8556 -0.4597 1
4.2079 5.4037 1.9471 3.6717 2
1.6931 4.1784 -0.3947 -0.8055 1
2.215 5.4179 1.8265 3.149 1
2.0787 0.2189 6.7187 1.0983 2
6.5705 4.9737 0.1222 -1.001 1
4.11 0.3479 2.7451 0.4419 2
4.7389 5.6396 4.1842 3.1387 2
4.624 -0.0125 5.7823 1.9221 2
1.8288 4.1272 5.4696 -4.14 1
2.4182 -0.1176 4.3054 3.0697 1
1.0801 1.7771 2.2727 -0.5834 1
4.811 0.2406 1.5186 0.5444 2
0.0759 4.1033 5.0853 1.8182 1
-2.624 6.3909 3.0232 0.7613 1
1.3681 -0.3824 4.5676 0.5743 2
4.7464 0.3873 4.0105 2.3668 2
1.0638 4.0974 2.9004 1.8369 1
5.1385 -4.0702 4.7105 2.0896 2
-1.519 -1.0501 13.2759 -0.3992 2
9.5332 2.6547 0.229 -0.846 2
7.3496 3.8666 -2.8397 1.5335 1
8.6342 4.6793 -0.7193 1.8235 2
5.4683 -2.2747 9.3913 2.274 1
7.5934 -1.422 4.1555 -1.3862 1
3.5347 1.0649 1.2668 2.8473 1
5.8704 -0.0124 -1.3861 4.0477 2
8.4024 4.5696 0.8471 -2.4742 1
1.1102 3.3952 2.7081 -0.4234 1
3.6409 -1.2075 7.8306 5.1312 1
6.3729 1.4867 -0.0401 0.7806 1
5.7852 -1.6291 1.0319 -1.3478 2
3.2528 2.4332 2.992 2.3228 2
-2.0964 6.946 3.0749 -2.2684 2
3.7001 0.0751 3.6309 2.5388 1
4.4748 3.1759 5.4007 4.6005 2
3.1677 6.5962 2.0646 -4.5376 1
5.9528 -1.328 4.2971 2.3372 1
7.5297 0.4132 2.6189 5.3698 2
0.9447 2.8238 3.3173 -1.2878 1
6.8853 0.2879 2.1749 0.8428 2
5.1758 3.5777 -2.9766 -0.6854 2
6.5776 -2.5487 7.5232 0.9786 2
6.8429 2.2083 -2.2246 4.057 2
2.3082 0.9885 4.1526 4.0847 1
6.0656 -1.2091 1.9902 3.7403 2
4.5065 1.2271 5.1486 1.0266 1
2.3423 3.1403 1.9584 -0.9273 2
4.6411 -1.3351 -0.6715 1.494 1
2.563 4.9399 4.0414 -2.479 2
3.6998 2.8003 1.9711 1.1856 2
2.6725 1.8157 0.078 1.545 2
6.8176 2.5339 0.0882 -1.395 2
6.6331 6.5111 -1.3807 0.0668 1
