"X1" "X2" "X3" "X4" "grupos"
4.7389 5.6396 4.1842 3.1387 2
3.3867 4.1101 1.0348 1.1581 1
5.9121 -1.3141 3.9993 1.3148 2
3.5347 1.0649 1.2668 2.8473 1
2.3423 3.1403 1.9584 -0.9273 2
3.5114 1.7169 3.3255 4.5975 1
6.8176 2.5339 0.0882 -1.395 2
5.5648 2.9712 -0.8556 -0.4597 1
6.8853 0.2879 2.1749 0.8428 2
2.8816 0.3701 0.6465 2.2926 1
3.0909 4.8462 3.2541 3.0184 2
4.5065 1.2271 5.1486 1.0266 1
3.588 0.0659 7.3388 4.0576 1
3.7822 1.3057 2.1805 2.069 1
8.2875 1.5811 -0.7817 1.9841 2
2.0042 4.4202 1.4157 6.4899 1
1.1583 4.0016 0.2463 -1.9524 1
3.6998 2.8003 1.9711 1.1856 2
-2.624 6.3909 3.0232 0.7613 1
1.9904 3.6536 2.0567 3.5471 1
-2.4555 6.202 1.2881 3.483 2
5.3019 2.011 1.8018 7.2106 1
3.523 2.5741 2.196 -2.5618 2
0.0759 4.1033 5.0853 1.8182 1
1.3444 4.4531 5.4294 -1.0064 1
3.7758 -1.8933 7.1177 4.8064 1
0.2745 -0.9104 7.3548 -3.8182 2
1.0638 4.0974 2.9004 1.8369 1
5.1385 -4.0702 4.7105 2.0896 2
1.5692 -0.883 3.8388 3.3674 1
7.5297 0.4132 2.6189 5.3698 2
3.5074 1.5341 3.2775 1.1307 1
-1.5564 1.518 6.5195 2.4767 2
5.6934 3.3269 1.6975 0.7509 1
7.8032 -0.9802 3.014 -2.1112 1
2.4645 4.3469 3.7637 2.1843 1
4.5013 -0.5166 3.9449 -0.0816 1
1.8287 -3.0823 6.6519 4.7427 1
4.7687 -0.1322 3.7575 0.9177 2
5.6611 0.5141 -0.5741 -0.1198 2
4.5142 1.1249 1.0084 -0.2863 1
1.7403 1.2405 5.2965 1.5254 2
2.6798 5.6086 0.0254 -0.2584 1
6.3418 -0.2984 0.1174 0.5951 1
8.476 0.7034 -1.3879 0.9212 2
9.5332 2.6547 0.229 -0.846 2
8.6342 4.6793 -0.7193 1.8235 2
2.5529 3.8398 5.4912 -2.7205 1
3.1146 -0.2395 -0.2694 3.0353 1
6.0656 -1.2091 1.9902 3.7403 2
1.1102 3.3952 2.7081 -0.4234 1
4.811 0.2406 1.5186 0.5444 2
