"X1" "X2" "X3" "X4" "grupos"
8.4146 -1.8588 0.2389 3.6459 2
5.1758 3.5777 -2.9766 -0.6854 2
5.2748 6.2775 -0.7811 1.769 2
-0.3525 2.5296 4.7171 -1.9009 1
5.5648 2.9712 -0.8556 -0.4597 1
5.8704 -0.0124 -1.3861 4.0477 2
2.6798 5.6086 0.0254 -0.2584 1
5.8744 -0.5852 0.9259 -0.3017 2
4.3895 -0.2999 2.3801 2.367 1
1.1583 4.0016 0.2463 -1.9524 1
2.1896 4.6631 0.3493 3.348 1
4.777 4.7446 6.6308 3.5392 1
3.7963 0.836 2.8507 -1.1503 2
6.8176 2.5339 0.0882 -1.395 2
4.624 -0.0125 5.7823 1.9221 2
6.6331 6.5111 -1.3807 0.0668 1
4.2079 5.4037 1.9471 3.6717 2
2.9429 -0.7687 3.6823 2.4713 1
1.948 7.0348 1.94 4.2173 2
7.8032 -0.9802 3.014 -2.1112 1
0.9447 2.8238 3.3173 -1.2878 1
2.2278 3.8637 2.5111 -0.7036 1
3.6998 2.8003 1.9711 1.1856 2
6.3729 1.4867 -0.0401 0.7806 1
2.9046 0.0469 0.2861 -2.1311 1
4.0939 3.7453 2.1351 1.7487 1
1.0638 4.0974 2.9004 1.8369 1
3.0758 2.3846 2.9849 -0.1903 1
5.7949 -2.1526 1.9904 -0.0187 2
3.523 2.5741 2.196 -2.5618 2
0.2745 -0.9104 7.3548 -3.8182 2
6.286 0.1571 2.8671 0.5361 1
5.6955 -1.0856 3.689 1.9512 2
5.1322 2.9536 -0.6372 1.1853 1
1.3444 4.4531 5.4294 -1.0064 1
2.6725 1.8157 0.078 1.545 2
8.6342 4.6793 -0.7193 1.8235 2
5.1385 -4.0702 4.7105 2.0896 2
5.4683 -2.2747 9.3913 2.274 1
2.8133 2.8895 1.1027 3.3278 2
3.5716 1.5286 4.8099 5.5082 2
2.0042 4.4202 1.4157 6.4899 1
3.1702 2.5035 1.6132 3.3953 1
0.4483 3.4499 0.1497 1.4795 2
2.1004 0.1625 9.3202 5.5668 2
2.8502 5.2298 -0.4304 0.4463 1
0.8111 4.2804 3.0768 1.4276 1
-2.624 6.3909 3.0232 0.7613 1
0.337 0.2934 5.9831 4.7933 2
1.5692 -0.883 3.8388 3.3674 1
0.1258 4.0835 1.2258 -3.1224 2
5.6737 -0.9977 6.1333 0.5713 1
3.8999 3.5093 -1.1 3.3492 1
3.5074 1.5341 3.2775 1.1307 1
