"X1" "X2" "X3" "X4" "grupos"
1.948 7.0348 1.94 4.2173 2
1.8287 -3.0823 6.6519 4.7427 1
8.2875 1.5811 -0.7817 1.9841 2
2.6798 5.6086 0.0254 -0.2584 1
6.5776 -2.5487 7.5232 0.9786 2
-1.5564 1.518 6.5195 2.4767 2
4.0939 3.7453 2.1351 1.7487 1
5.2451 -1.9081 7.4799 1.7458 2
0.9447 2.8238 3.3173 -1.2878 1
3.7758 -1.8933 7.1177 4.8064 1
2.8133 2.8895 1.1027 3.3278 2
3.981 2.7977 4.4716 2.4257 1
6.8176 2.5339 0.0882 -1.395 2
2.3082 0.9885 4.1526 4.0847 1
5.8016 2.6339 3.2372 -2.5128 1
3.7001 0.0751 3.6309 2.5388 1
6.6331 6.5111 -1.3807 0.0668 1
3.0758 2.3846 2.9849 -0.1903 1
3.5716 1.5286 4.8099 5.5082 2
6.4753 3.2822 4.2987 4.145 2
0.2745 -0.9104 7.3548 -3.8182 2
5.9528 -1.328 4.2971 2.3372 1
4.3895 -0.2999 2.3801 2.367 1
4.11 0.3479 2.7451 0.4419 2
5.3019 2.011 1.8018 7.2106 1
5.2685 1.0355 -0.1654 3.5785 2
4.5065 1.2271 5.1486 1.0266 1
3.8946 1.3922 2.9597 1.0173 2
2.9202 4.7196 3.2309 0.603 2
2.0042 4.4202 1.4157 6.4899 1
1.327 1.5138 7.0286 2.2355 1
1.0638 4.0974 2.9004 1.8369 1
2.4182 -0.1176 4.3054 3.0697 1
3.6998 2.8003 1.9711 1.1856 2
0.8111 4.2804 3.0768 1.4276 1
3.5074 1.5341 3.2775 1.1307 1
2.0787 0.2189 6.7187 1.0983 2
3.3155 2.0174 7.5251 0.4614 1
6.5705 4.9737 0.1222 -1.001 1
5.6955 -1.0856 3.689 1.9512 2
6.999 2.2932 -0.2967 -0.5026 1
1.6542 4.7213 2.364 2.4497 2
-2.624 6.3909 3.0232 0.7613 1
3.0909 4.8462 3.2541 3.0184 2
0.337 0.2934 5.9831 4.7933 2
4.624 -0.0125 5.7823 1.9221 2
4.777 4.7446 6.6308 3.5392 1
6.9807 -2.8328 2.6769 3.0859 2
3.97 1.5842 0.9501 -4.5572 2
1.777 -0.9217 4.5942 5.7306 1
4.0976 9.5607 0.2794 4.9315 2
5.7949 -2.1526 1.9904 -0.0187 2
4.5419 4.987 3.3181 -0.4372 1
8.4024 4.5696 0.8471 -2.4742 1
2.5809 2.1203 0.7862 2.3644 1
1.5241 2.468 2.4146 3.0218 1
3.7822 1.3057 2.1805 2.069 1
