"0","myAnova <- function(lm.model){"
"0"," SSq <- unlist(anova(lm.model)[""Sum Sq""])"
"0"," k <- length(SSq) - 1"
"0"," SSR <- sum(SSq[1:k])"
"0"," SSE <- SSq[(k + 1)]"
"0"," MSR <- SSR/k"
"0"," df.error <- unlist(anova(lm.model)[""Df""])[k + 1]"
"0"," MSE <- SSE/df.error"
"0"," F0 <- MSR/MSE"
"0"," PV <- pf(F0, k, df.error, lower.tail = F)"
"0"," result<-data.frame(Sum_of_Squares = format(c(SSR, SSE), digits = 6), DF = format(c(k, df.error), digits = 6),"
"0","                    Mean_Square = format(c(MSR, MSE), digits = 6), F_Value = c(format(F0, digits = 6), ''),"
"0","                    P_value = c(format(PV, digits = 6), ''), row.names = c(""Model"", ""Error""))"
"0"," result"
"0","}"
