"Y" "X1" "X2" "X3" "X4"
50 65 51 28 70
61 43 44 57 46
69 70 34 47 73
64 71 62 42 82
60 79 56 23 70
41 39 35 52 45
77 75 43 66 52
56 84 51 33 69
64 72 54 24 69
40 47 52 45 71
39 60 67 33 54
64 72 73 55 73
53 56 54 51 69
57 65 32 33 59
60 83 44 19 74
64 86 80 46 58
46 59 70 41 74
54 62 52 58 76
60 73 64 45 43
51 63 68 39 75
42 45 74 31 62
37 49 73 12 46
51 67 31 51 79
45 53 30 31 80
72 89 76 38 66
65 86 52 29 58
72 80 60 28 48
48 44 57 65 72
41 60 63 48 80
42 50 54 38 45
51 63 32 19 65
44 47 70 39 62
49 50 50 38 45
63 55 49 66 81
54 65 42 63 72
43 52 34 54 49
43 78 34 56 87
44 41 75 67 44
39 47 82 22 54
48 47 46 32 56
60 72 51 64 61
61 85 36 33 54
77 89 77 66 49
62 61 65 47 72
44 60 73 11 65
63 66 57 32 56
46 55 34 49 66
37 68 67 20 58
46 78 82 11 71
70 87 40 16 47
