"0",""
"0","#OTRA FORMA PARA C?LCULO INDIVIDUAL DE EFECTOS CON SUS INTERVALOS DE CONFIANZA DEL 95%:"
"0","contr0=rbind(""efecto nitrato 0""= c(4/5,-1/5,-1/5,-1/5,-1/5))"
"0","contr50=rbind(""efecto nitrato 50""= c(-1/5,4/5,-1/5,-1/5,-1/5))"
"0","contr100=rbind(""efecto nitrato 100""= c(-1/5,-1/5,4/5,-1/5,-1/5))"
"0","contr150=rbind(""efecto nitrato 150""= c(-1/5,-1/5,-1/5,4/5,-1/5))"
"0","contr200=rbind(""efecto nitrato 200""= c(-1/5,-1/5,-1/5,-1/5,4/5))"
"0",""
"0","rbind(confint(glht(modelo2,linfct=mcp(nitrato=contr0)))$confint,"
"0","confint(glht(modelo2,linfct=mcp(nitrato=contr50)))$confint,"
"0","confint(glht(modelo2,linfct=mcp(nitrato=contr100)))$confint,"
"0","confint(glht(modelo2,linfct=mcp(nitrato=contr150)))$confint,"
"0","confint(glht(modelo2,linfct=mcp(nitrato=contr200)))$confint)"
"1","                  "
"1"," Estimate"
"1","         lwr"
"1","       upr"
"1","
efecto nitrato 0  "
"1","    -30.6"
"1"," -44.8196069"
"1"," -16.38039"
"1","
efecto nitrato 50 "
"1","      2.9"
"1"," -11.3196069"
"1","  17.11961"
"1","
efecto nitrato 100"
"1","      6.4"
"1","  -7.8196069"
"1","  20.61961"
"1","
efecto nitrato 150"
"1","     14.9"
"1","   0.6803931"
"1","  29.11961"
"1","
efecto nitrato 200"
"1","      6.4"
"1","  -7.8196069"
"1","  20.61961"
"1","
"
